expected_sample_accession,bioproject,reported_source,status
SAMN16976824,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976825,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976826,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976827,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976828,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976829,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976830,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976831,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976832,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976833,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976834,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976835,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976836,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976837,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976838,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976839,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976840,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976841,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976842,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976843,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976844,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976845,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
SAMN16976846,PRJNA682013,Kemp et al. Data Availability,expected_not_yet_verified
