run_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	bam_ftp	sample_title	experiment_title
SRR34737006	PRJNA1295507	SRP604007	SAMN50212639	SRX29871251	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	79939	29906319	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/006/SRR34737006/SRR34737006.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/006/SRR34737006/SRR34737006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/006/SRR34737006/SRR34737006_2.fastq.gz			LC-09953	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737030	PRJNA1295507	SRP604007	SAMN50212625	SRX29871227	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	99489	39146644	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/030/SRR34737030/SRR34737030.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/030/SRR34737030/SRR34737030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/030/SRR34737030/SRR34737030_2.fastq.gz			LC-0065	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737045	PRJNA1295507	SRP604007	SAMN50212619	SRX29871212	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	82441	32768279	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/045/SRR34737045/SRR34737045.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/045/SRR34737045/SRR34737045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/045/SRR34737045/SRR34737045_2.fastq.gz			LC-06628	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737047	PRJNA1295507	SRP604007	SAMN50212617	SRX29871210	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	74247	28454917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/047/SRR34737047/SRR34737047.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/047/SRR34737047/SRR34737047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/047/SRR34737047/SRR34737047_2.fastq.gz			LC-02649	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737008	PRJNA1295507	SRP604007	SAMN50212637	SRX29871249	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	106556	44123756	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/008/SRR34737008/SRR34737008.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/008/SRR34737008/SRR34737008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/008/SRR34737008/SRR34737008_2.fastq.gz			LC-07245	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737016	PRJNA1295507	SRP604007	SAMN50212632	SRX29871241	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	69163	27657511	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/016/SRR34737016/SRR34737016.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/016/SRR34737016/SRR34737016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/016/SRR34737016/SRR34737016_2.fastq.gz			LC-10602	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737024	PRJNA1295507	SRP604007	SAMN50212654	SRX29871233	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	80809	29871639	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/024/SRR34737024/SRR34737024.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/024/SRR34737024/SRR34737024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/024/SRR34737024/SRR34737024_2.fastq.gz			LC-02587	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737025	PRJNA1295507	SRP604007	SAMN50212653	SRX29871232	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	77320	31614384	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/025/SRR34737025/SRR34737025.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/025/SRR34737025/SRR34737025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/025/SRR34737025/SRR34737025_2.fastq.gz			LC-06081	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737026	PRJNA1295507	SRP604007	SAMN50212652	SRX29871231	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	89970	37277411	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/026/SRR34737026/SRR34737026.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/026/SRR34737026/SRR34737026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/026/SRR34737026/SRR34737026_2.fastq.gz			LC-10015	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737028	PRJNA1295507	SRP604007	SAMN50212650	SRX29871229	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	114621	44724884	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/028/SRR34737028/SRR34737028.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/028/SRR34737028/SRR34737028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/028/SRR34737028/SRR34737028_2.fastq.gz			LC-07805	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
