collection_date,n_samples,sample_titles,run_accessions
2020-04-02,1,LC-0030,SRR34737018
2020-04-07,1,LC-11663,SRR34737017
2020-04-14,1,LC-10602,SRR34737016
2020-04-17,1,LC-0065,SRR34737030
2020-04-20,1,LC-11462,SRR34737015
2020-04-28,2,LC-08331|LC-08368,SRR34737029|SRR34737014
2021-02-03,1,LC-09975,SRR34737007
2021-02-19,1,LC-09970,SRR34737034
2021-02-23,1,LC-09953,SRR34737006
2021-02-25,1,LC-09972,SRR34737005
2021-03-02,1,LC-10356,SRR34737033
2021-03-08,2,LC-0426|LC-10380,SRR34737004|SRR34737032
2021-03-11,1,LC-10343,SRR34737003
2021-05-05,1,LC-03549,SRR34737044
2021-06-07,1,LC-03127,SRR34737043
2021-08-09,1,LC-0726,SRR34737041
2021-08-16,1,LC-08088,SRR34737040
2021-08-24,1,LC-03070,SRR34737039
2021-08-27,1,LC-08020,SRR34737038
2021-08-31,1,LC-03064,SRR34737037
2021-09-02,1,LC-07805,SRR34737028
2021-10-15,1,LC-07633,SRR34737051
2021-10-17,1,LC-07617,SRR34737050
2021-12-22,1,LC-0953,SRR34737031
2021-12-31,1,LC-10955,SRR34737013
2022-01-05,1,LC-05858,SRR34737042
2022-01-10,1,LC-03966,SRR34737027
2022-02-09,1,LC-1201,SRR34737021
2022-02-12,1,LC-10033,SRR34737012
2022-02-14,1,LC-06074,SRR34737011
2022-02-25,1,LC-06081,SRR34737025
2022-02-28,1,LC-10015,SRR34737026
2022-03-18,1,LC-02587,SRR34737024
2022-05-20,1,LC-06422,SRR34737049
2022-06-01,1,LC-02659,SRR34737048
2022-06-06,1,LC-02649,SRR34737047
2022-06-12,1,LC-02672,SRR34737046
2022-06-21,1,LC-06628,SRR34737045
2022-06-30,1,LC-06774,SRR34737010
2022-07-02,1,LC-03371,SRR34737023
2022-07-05,1,LC-03349,SRR34737022
2022-07-07,1,LC-07119,SRR34737009
2022-07-10,1,LC-07231,SRR34737036
2022-07-13,1,LC-07245,SRR34737008
2022-07-18,1,LC-07124,SRR34737035
2022-08-12,1,LC-02899,SRR34737052
2022-08-17,1,LC-1607,SRR34737020
2022-09-02,1,LC-1807,SRR34737019
