case_id,run_accession,sample_accession,study_accession,sample_title,scientific_name,instrument_platform,instrument_model,library_layout,library_strategy,read_count,base_count,fastq_ftp,submitted_ftp,bam_ftp,n_fastq_links,n_submitted_links,n_bam_links,has_fastq,has_submitted,has_bam,metadata_usable,needs_day_mapping,needs_case_grouping,download_status
BOYLE_2025_PRJNA1295507,SRR34737006,SAMN50212639,PRJNA1295507,LC-09953,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,79939,29906319,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/006/SRR34737006/SRR34737006.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/006/SRR34737006/SRR34737006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/006/SRR34737006/SRR34737006_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737030,SAMN50212625,PRJNA1295507,LC-0065,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,99489,39146644,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/030/SRR34737030/SRR34737030.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/030/SRR34737030/SRR34737030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/030/SRR34737030/SRR34737030_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737045,SAMN50212619,PRJNA1295507,LC-06628,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,82441,32768279,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/045/SRR34737045/SRR34737045.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/045/SRR34737045/SRR34737045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/045/SRR34737045/SRR34737045_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737047,SAMN50212617,PRJNA1295507,LC-02649,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,74247,28454917,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/047/SRR34737047/SRR34737047.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/047/SRR34737047/SRR34737047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/047/SRR34737047/SRR34737047_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737008,SAMN50212637,PRJNA1295507,LC-07245,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,106556,44123756,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/008/SRR34737008/SRR34737008.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/008/SRR34737008/SRR34737008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/008/SRR34737008/SRR34737008_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737016,SAMN50212632,PRJNA1295507,LC-10602,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,69163,27657511,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/016/SRR34737016/SRR34737016.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/016/SRR34737016/SRR34737016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/016/SRR34737016/SRR34737016_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737024,SAMN50212654,PRJNA1295507,LC-02587,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,80809,29871639,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/024/SRR34737024/SRR34737024.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/024/SRR34737024/SRR34737024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/024/SRR34737024/SRR34737024_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737025,SAMN50212653,PRJNA1295507,LC-06081,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,77320,31614384,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/025/SRR34737025/SRR34737025.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/025/SRR34737025/SRR34737025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/025/SRR34737025/SRR34737025_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737026,SAMN50212652,PRJNA1295507,LC-10015,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,89970,37277411,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/026/SRR34737026/SRR34737026.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/026/SRR34737026/SRR34737026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/026/SRR34737026/SRR34737026_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
BOYLE_2025_PRJNA1295507,SRR34737028,SAMN50212650,PRJNA1295507,LC-07805,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,Illumina MiSeq,PAIRED,AMPLICON,114621,44724884,ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/028/SRR34737028/SRR34737028.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/028/SRR34737028/SRR34737028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/028/SRR34737028/SRR34737028_2.fastq.gz,,,3,0,0,True,False,False,True,True,True,not_downloaded
