run_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	bam_ftp	sample_title	experiment_title
ERR6863935	PRJEB47786	ERP132087	SAMEA9972029	ERX6487363	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	1240005	177452509	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/005/ERR6863935/ERR6863935.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/005/ERR6863935/ERR6863935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/005/ERR6863935/ERR6863935_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863935/100_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863935/100_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/005/ERR6863935.bam	SARS_CoV_2_immunosuppressed_swab_d105	Illumina MiSeq paired end sequencing
ERR6863927	PRJEB47786	ERP132087	SAMEA9972021	ERX6487355	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	1892056	273516070	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/007/ERR6863927/ERR6863927.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/007/ERR6863927/ERR6863927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/007/ERR6863927/ERR6863927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/007/ERR6863927.bam	SARS_CoV_2_immunosuppressed_swab_d0	Illumina MiSeq paired end sequencing
ERR6863932	PRJEB47786	ERP132087	SAMEA9972026	ERX6487360	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	1360764	195353910	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/002/ERR6863932/ERR6863932.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/002/ERR6863932/ERR6863932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/002/ERR6863932/ERR6863932_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/002/ERR6863932.bam	SARS_CoV_2_immunosuppressed_swab_d56	Illumina MiSeq paired end sequencing
ERR6863934	PRJEB47786	ERP132087	SAMEA9972028	ERX6487362	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	1185964	169750047	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/004/ERR6863934/ERR6863934.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/004/ERR6863934/ERR6863934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/004/ERR6863934/ERR6863934_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863934/127_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863934/127_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/004/ERR6863934.bam	SARS_CoV_2_immunosuppressed_swab_d71	Illumina MiSeq paired end sequencing
ERR6863938	PRJEB47786	ERP132087	SAMEA9972032	ERX6487366	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	1136991	163579171	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/008/ERR6863938/ERR6863938.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/008/ERR6863938/ERR6863938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/008/ERR6863938/ERR6863938_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863938/95_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863938/95_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/008/ERR6863938.bam	SARS_CoV_2_immunosuppressed_swab_d140	Illumina MiSeq paired end sequencing
ERR6863928	PRJEB47786	ERP132087	SAMEA9972022	ERX6487356	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	1861989	268798468	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/008/ERR6863928/ERR6863928.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/008/ERR6863928/ERR6863928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/008/ERR6863928/ERR6863928_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/008/ERR6863928.bam	SARS_CoV_2_immunosuppressed_swab_d7	Illumina MiSeq paired end sequencing
ERR6863931	PRJEB47786	ERP132087	SAMEA9972025	ERX6487359	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	1225562	174884916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/001/ERR6863931/ERR6863931.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/001/ERR6863931/ERR6863931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/001/ERR6863931/ERR6863931_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/001/ERR6863931.bam	SARS_CoV_2_immunosuppressed_swab_d42	Illumina MiSeq paired end sequencing
ERR6863933	PRJEB47786	ERP132087	SAMEA9972027	ERX6487361	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	1634718	228521774	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/003/ERR6863933/ERR6863933.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/003/ERR6863933/ERR6863933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/003/ERR6863933/ERR6863933_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863933/128_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863933/128_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/003/ERR6863933.bam	SARS_CoV_2_immunosuppressed_swab_d59	Illumina MiSeq paired end sequencing
ERR6863929	PRJEB47786	ERP132087	SAMEA9972023	ERX6487357	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	2407547	343547821	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/009/ERR6863929/ERR6863929.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/009/ERR6863929/ERR6863929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/009/ERR6863929/ERR6863929_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/009/ERR6863929.bam	SARS_CoV_2_immunosuppressed_swab_d14	Illumina MiSeq paired end sequencing
ERR6863930	PRJEB47786	ERP132087	SAMEA9972024	ERX6487358	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	RNA-Seq	5255070	695562442	ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/000/ERR6863930/ERR6863930.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/000/ERR6863930/ERR6863930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR686/000/ERR6863930/ERR6863930_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863930/119_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863930/119_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR686/000/ERR6863930.bam	SARS_CoV_2_immunosuppressed_isolate_d14	Illumina MiSeq paired end sequencing
