case_id,sample_day,timepoint_order,sample_title,run_accession,sample_accession,library_strategy,read_count,base_count,preferred_source,file_index,ftp_url,download_url,planned_local_dir,download_status,notes
WEIGANG_2021_ERP132087,0,0,SARS_CoV_2_immunosuppressed_swab_d0,ERR6863927,SAMEA9972021,AMPLICON,1892056,273516070,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_000_ERR6863927,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,0,0,SARS_CoV_2_immunosuppressed_swab_d0,ERR6863927,SAMEA9972021,AMPLICON,1892056,273516070,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_000_ERR6863927,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,7,1,SARS_CoV_2_immunosuppressed_swab_d7,ERR6863928,SAMEA9972022,AMPLICON,1861989,268798468,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_007_ERR6863928,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,7,1,SARS_CoV_2_immunosuppressed_swab_d7,ERR6863928,SAMEA9972022,AMPLICON,1861989,268798468,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_007_ERR6863928,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,14,2,SARS_CoV_2_immunosuppressed_swab_d14,ERR6863929,SAMEA9972023,AMPLICON,2407547,343547821,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_014_ERR6863929,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,14,2,SARS_CoV_2_immunosuppressed_swab_d14,ERR6863929,SAMEA9972023,AMPLICON,2407547,343547821,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_014_ERR6863929,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,42,3,SARS_CoV_2_immunosuppressed_swab_d42,ERR6863931,SAMEA9972025,AMPLICON,1225562,174884916,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_042_ERR6863931,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,42,3,SARS_CoV_2_immunosuppressed_swab_d42,ERR6863931,SAMEA9972025,AMPLICON,1225562,174884916,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_042_ERR6863931,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,56,4,SARS_CoV_2_immunosuppressed_swab_d56,ERR6863932,SAMEA9972026,AMPLICON,1360764,195353910,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_056_ERR6863932,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
WEIGANG_2021_ERP132087,56,4,SARS_CoV_2_immunosuppressed_swab_d56,ERR6863932,SAMEA9972026,AMPLICON,1360764,195353910,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_056_ERR6863932,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.
