case_id,sample_day,timepoint_order,sample_title,run_accession,sample_accession,library_strategy,read_count,base_count,preferred_source,file_index,ftp_url,download_url,planned_local_dir,download_status,notes,local_path,download_attempted_at,status,bytes_downloaded,sha256
WEIGANG_2021_ERP132087,0,0,SARS_CoV_2_immunosuppressed_swab_d0,ERR6863927,SAMEA9972021,AMPLICON,1892056,273516070,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_000_ERR6863927,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_000_ERR6863927/40_R1.fastq.gz,2026-06-08T10:15:20,downloaded,62631759,75274b306a6fe981d4dc138850f1684e23686e3eedbe5090f94e62d24ce83c22
WEIGANG_2021_ERP132087,0,0,SARS_CoV_2_immunosuppressed_swab_d0,ERR6863927,SAMEA9972021,AMPLICON,1892056,273516070,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863927/40_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_000_ERR6863927,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_000_ERR6863927/40_R2.fastq.gz,2026-06-08T10:16:49,downloaded,74976882,5077e9979666994307b7221d514089312690bcf47ebb8c3604a7cd282be0346c
WEIGANG_2021_ERP132087,7,1,SARS_CoV_2_immunosuppressed_swab_d7,ERR6863928,SAMEA9972022,AMPLICON,1861989,268798468,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_007_ERR6863928,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_007_ERR6863928/41_R1.fastq.gz,2026-06-08T10:18:40,downloaded,75018654,12cff881622541adcd62473513200f045ed98ba0cdf184c1b893500ff05ee6fa
WEIGANG_2021_ERP132087,7,1,SARS_CoV_2_immunosuppressed_swab_d7,ERR6863928,SAMEA9972022,AMPLICON,1861989,268798468,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863928/41_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_007_ERR6863928,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_007_ERR6863928/41_R2.fastq.gz,2026-06-08T10:20:47,downloaded,79519781,aeef3c64eb6d6a9027d38ee57b805ef216e5b19fe1faba2d87c11b5353df2409
WEIGANG_2021_ERP132087,14,2,SARS_CoV_2_immunosuppressed_swab_d14,ERR6863929,SAMEA9972023,AMPLICON,2407547,343547821,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_014_ERR6863929,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_014_ERR6863929/42_R1.fastq.gz,2026-06-08T10:22:59,downloaded,91802860,a96622e7aa9337887836d2de8d50d5e1f27ffcdcd594d3962072e63ad9eddc52
WEIGANG_2021_ERP132087,14,2,SARS_CoV_2_immunosuppressed_swab_d14,ERR6863929,SAMEA9972023,AMPLICON,2407547,343547821,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863929/42_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_014_ERR6863929,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_014_ERR6863929/42_R2.fastq.gz,2026-06-08T10:24:23,downloaded,110232947,7378ec15b9ffe1606a688398df556bcc4cb84db256dc08a0b2433e7e51130742
WEIGANG_2021_ERP132087,42,3,SARS_CoV_2_immunosuppressed_swab_d42,ERR6863931,SAMEA9972025,AMPLICON,1225562,174884916,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_042_ERR6863931,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_042_ERR6863931/43_R1.fastq.gz,2026-06-08T10:25:48,downloaded,40312265,13d9b30281e0dc3ce47cc60aba98af21507f34f77cba5d32cb3d00369ba8deec
WEIGANG_2021_ERP132087,42,3,SARS_CoV_2_immunosuppressed_swab_d42,ERR6863931,SAMEA9972025,AMPLICON,1225562,174884916,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863931/43_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_042_ERR6863931,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_042_ERR6863931/43_R2.fastq.gz,2026-06-08T10:27:01,downloaded,43092983,d3cf1c81b1d0733343cc7851101a871aaf72ed39f311c94cc06890a54fae72af
WEIGANG_2021_ERP132087,56,4,SARS_CoV_2_immunosuppressed_swab_d56,ERR6863932,SAMEA9972026,AMPLICON,1360764,195353910,submitted_ftp,1,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R1.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_056_ERR6863932,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_056_ERR6863932/99_R1.fastq.gz,2026-06-08T10:27:58,downloaded,52586651,adf59c44f4792a8010d70d590891cb30616782e08e93905c68bb5efae6ea2bfb
WEIGANG_2021_ERP132087,56,4,SARS_CoV_2_immunosuppressed_swab_d56,ERR6863932,SAMEA9972026,AMPLICON,1360764,195353910,submitted_ftp,2,ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R2.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/run/ERR686/ERR6863932/99_R2.fastq.gz,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_056_ERR6863932,planned_not_downloaded,Primary swab only. Download only after raw-feature plan is frozen.,data/raw/phase2_sarscov2_multicase/weigang_primary_swabs/day_056_ERR6863932/99_R2.fastq.gz,2026-06-08T10:29:07,downloaded,55455317,aa884cfed8c5b565ab9973a6f9ce5d292540340371624479082eda926474cbf9
